"ArrayRegularity","NRL","Shift","ORF"
0.91,161,0,"YBR127C"
0.91,157,0,"YBR128C"
0.9,164,5,"YBR129C"
0.91,162,-1,"YBR130C"
0.86,162,-2,"YBR131W"
0.89,175,-13,"YBR132C"
0.8,166,10,"YBR133C"
0.75,163,2,"YBR135W"
0.91,165,6,"YBR136W"
0.93,173,9,"YBR137W"
0.91,163,0,"YBR139W"
0.93,169,7,"YBR140C"
0.85,165,-1,"YBR142W"
0.85,165,-8,"YBR143C"
0.82,156,45,"YBR145W"
0.9,162,8,"YBR146W"
0.89,168,0,"YBR147W"
0.8,159,0,"YBR148W"
0.92,166,-17,"YBR149W"
0.9,164,-9,"YBR150C"
0.85,167,-4,"YBR151W"
0.72,159,3,"YBR152W"
0.85,167,1,"YBR153W"
0.93,158,0,"YBR154C"
0.91,169,-18,"YBR155W"
0.92,167,0,"YBR156C"
0.76,164,69,"YBR158W"
0.78,172,4,"YBR159W"
0.87,160,17,"YBR160W"
0.72,188,11,"YBR161W"
0.81,169,15,"YBR162C"
0.73,194,-1,"YBR162W-A"
0.95,171,-3,"YBR163W"
0.93,169,0,"YBR164C"
0.92,167,12,"YBR165W"
0.95,165,-5,"YBR166C"
0.53,220,-7,"YBR167C"
0.89,169,8,"YBR168W"
0.92,167,5,"YBR169C"
0.9,170,1,"YBR170C"
0.85,168,-1,"YBR171W"
0.9,163,0,"YBR172C"
0.56,145,0,"YBR173C"
0.86,167,3,"YBR175W"
0.92,172,-1,"YBR176W"
0.84,172,11,"YBR177C"
0.82,163,-12,"YBR179C"
0.87,164,24,"YBR180W"
0.67,164,-10,"YBR181C"
0.94,173,12,"YBR182C"
0.77,179,0,"YBR183W"
0.94,165,5,"YBR185C"
0.9,167,1,"YBR186W"
0.88,167,8,"YBR188C"
0.87,156,4,"YBR189W"
0.83,153,17,"YBR191W"
0.89,166,5,"YBR192W"
0.87,179,-12,"YBR193C"
0.89,177,-38,"YBR194W"
0.88,167,7,"YBR195C"
0.73,183,13,"YBR196C"
0.87,158,0,"YBR198C"
0.85,164,0,"YBR199W"
0.91,167,2,"YBR200W"
0.93,165,-8,"YBR201W"
0.89,170,1,"YBR202W"
0.56,175,-4,"YBR203W"
0.95,168,-4,"YBR204C"
0.88,167,-3,"YBR205W"
0.93,171,9,"YBR207W"
0.78,170,4,"YBR208C"
0.62,169,11,"YBR210W"
0.91,164,-6,"YBR211C"
0.9,162,0,"YBR212W"
0.77,152,11,"YBR213W"
0.91,162,-11,"YBR214W"
0.89,172,-3,"YBR215W"
0.91,162,4,"YBR216C"
0.79,170,-12,"YBR217W"
0.67,173,-15,"YBR218C"
0.9,167,-5,"YBR221C"
0.78,170,12,"YBR222C"
0.94,169,0,"YBR223C"
0.8,170,10,"YBR227C"
0.91,173,-21,"YBR228W"
0.96,170,1,"YBR229C"
0.74,185,-4,"YBR230C"
0.91,170,-5,"YBR231C"
0.95,170,5,"YBR233W"
0.82,164,10,"YBR233W-A"
0.83,164,0,"YBR234C"
0.89,167,0,"YBR236C"
0.92,164,0,"YBR237W"
0.83,171,45,"YBR238C"
0.77,172,4,"YBR240C"
0.95,167,2,"YBR243C"
0.82,174,8,"YBR244W"
0.94,165,1,"YBR245C"
0.92,164,-3,"YBR247C"
0.9,161,4,"YBR248C"
0.9,168,3,"YBR249C"
0.87,176,1,"YBR250W"
0.96,165,3,"YBR251W"
0.73,201,-14,"YBR252W"
0.84,160,1,"YBR253W"
0.8,160,5,"YBR254C"
0.83,161,-3,"YBR255W"
0.86,157,0,"YBR256C"
0.93,176,-2,"YBR257W"
0.94,177,0,"YBR258C"
0.92,166,8,"YBR260C"
0.64,168,-17,"YBR261C"
0.9,171,-11,"YBR262C"
0.9,164,0,"YBR263W"
0.94,170,9,"YBR264C"
0.87,169,-6,"YBR265W"
0.91,168,-3,"YBR267W"
0.71,182,-8,"YBR268W"
0.88,163,11,"YBR272C"
0.94,166,0,"YBR273C"
0.93,168,0,"YBR274W"
0.9,163,-13,"YBR275C"
0.8,163,0,"YBR276C"
0.57,172,43,"YBR278W"
0.87,167,-12,"YBR279W"
0.87,168,0,"YBR280C"
0.94,172,-1,"YBR281C"
0.79,168,4,"YBR282W"
0.86,169,-33,"YBR283C"
0.87,167,-10,"YBR286W"
0.95,165,0,"YBR288C"
0.87,165,0,"YBR289W"
0.8,162,0,"YBR290W"
0.79,182,13,"YBR291C"
0.88,162,1,"YBR293W"
0.93,178,-16,"YBR294W"
0.94,165,-4,"YBR295W"
0.87,171,-15,"YBR296C"
0.88,157,-7,"YBR297W"
0.94,167,0,"YBR298C"
0.77,168,8,"YBR299W"
0,NA,NA,"YBR302C"
0.84,169,-33,"YCL064C"
0.81,173,-5,"YCL063W"
0.88,168,-8,"YCL061C"
0.85,164,6,"YCL059C"
0.86,174,9,"YCL058C"
0.86,174,-4,"YCL058W-A"
0.96,164,-1,"YCL057W"
0.76,167,7,"YCL055W"
0.89,167,2,"YCL054W"
0.89,164,0,"YCL052C"
0.86,163,0,"YCL051W"
0.94,166,8,"YCL050C"
0.89,174,1,"YCL048W"
0.93,167,21,"YCL045C"
0.9,171,0,"YCL044C"
0.75,155,-16,"YCL043C"
0.66,191,-34,"YCL040W"
0.88,170,0,"YCL039W"
0.94,170,11,"YCL038C"
0.84,164,11,"YCL037C"
0.86,175,3,"YCL036W"
0.64,165,24,"YCL035C"
0.91,170,-14,"YCL034W"
0.79,172,3,"YCL033C"
0.92,169,-5,"YCL032W"
0.86,163,-2,"YCL031C"
0.94,170,24,"YCL030C"
0.88,166,3,"YCL029C"
0.81,163,14,"YCL028W"
0.92,172,-11,"YCL027W"
0.9,175,15,"YCL026C-A"
0.72,149,-13,"YCL025C"
0.96,168,2,"YCL024W"
0.82,159,0,"YCL018W"
0.9,168,11,"YCL017C"
0.86,164,1,"YCL016C"
0.91,165,4,"YCL014W"
0.76,166,0,"YCL012C"
0.85,157,6,"YCL011C"
0.89,172,0,"YCL010C"
0.68,186,-1,"YCL009C"
0.95,166,-1,"YCL008C"
0.88,174,0,"YCL005W-A"
0.94,162,4,"YCL005W"
0.83,169,-40,"YCL004W"
0.85,187,-9,"YCL001W"
0.89,160,-3,"YCR002C"
0.86,164,0,"YCR003W"
0.69,164,-13,"YCR004C"
0.72,160,0,"YCR005C"
0.86,164,-1,"YCR008W"
0.94,162,0,"YCR009C"
0.77,184,33,"YCR010C"
0.9,179,15,"YCR011C"
0.54,141,33,"YCR012W"
0.85,167,-40,"YCR014C"
0.92,172,-4,"YCR017C"
0.43,177,-20,"YCR020C"
0.85,173,0,"YCR020C-A"
0.86,164,3,"YCR020W-B"
0.75,171,29,"YCR021C"
0.89,161,-2,"YCR023C"
0.81,168,-1,"YCR024C"
0.64,193,0,"YCR024C-A"
0.92,163,-11,"YCR026C"
0.93,166,15,"YCR027C"
0.95,167,0,"YCR028C"
0.91,169,7,"YCR028C-A"
0.86,165,-29,"YCR030C"
0.69,149,16,"YCR031C"
0.9,164,4,"YCR032W"
0.89,166,-1,"YCR033W"
0.84,164,1,"YCR034W"
0.84,170,4,"YCR035C"
0.93,174,4,"YCR036W"
0.91,162,-4,"YCR037C"
0.32,137,19,"YCR039C"
0.35,220,70,"YCR040W"
0.88,161,0,"YCR042C"
0.94,165,1,"YCR044C"
0.86,170,-25,"YCR045C"
0.8,178,-3,"YCR046C"
0.64,165,2,"YCR047C"
0.82,173,1,"YCR048W"
0.95,169,1,"YCR052W"
0.96,166,-10,"YCR053W"
0.91,171,3,"YCR054C"
0.97,166,4,"YCR057C"
0.92,168,11,"YCR059C"
0.61,184,-21,"YCR060W"
0.43,194,-9,"YCR063W"
0.67,140,0,"YCR065W"
0.93,169,-4,"YCR066W"
0.81,164,-15,"YCR067C"
0.81,171,5,"YCR068W"
0.91,170,-14,"YCR069W"
0.87,170,-5,"YCR071C"
0.89,168,0,"YCR072C"
0.87,167,3,"YCR073C"
0.77,166,17,"YCR073W-A"
0.89,167,0,"YCR075C"
0.86,161,-4,"YCR077C"
0.95,166,-6,"YCR079W"
0.9,162,11,"YCR081W"
0.77,174,-9,"YCR082W"
0.62,172,-6,"YCR083W"
0.82,163,-4,"YCR084C"
0.69,170,19,"YCR086W"
0.89,161,0,"YCR088W"
0.96,169,0,"YCR089W"
0.89,166,3,"YCR091W"
0.9,165,0,"YCR092C"
0.88,163,-8,"YCR093W"
0.92,164,-4,"YCR094W"
0.72,161,1,"YCR098C"
0.46,172,0,"YCR104W"
0.75,159,6,"YCR105W"
0.91,162,8,"YCR106W"
0.86,165,-15,"YCR107W"
0.37,166,-31,"YDL248W"
